attraction_id,attraction,description,duration,images
10,https://tripadvisor.ca/AttractionProductDetail-g154998-d13279338-Private_Custom_Made_Niagara_Falls_Wine_Beer_and_Spirits_Tour-Niagara_Falls_Ontario.html,"Discover over 100 wineries and vineyards in the Niagara regionâ€”plus microbreweries, distilleries, cideries, and moreâ€”on this bespoke wine, beer, and spirits tour.  Venture off the beaten path and create your own custom-made itinerary. Sip on craft beer or fruit cider, dine in a vineyard patio, or shop in the Old Town. Tours include chauffeured transportation and a hands-on tour guide.
Read more",6â€“7 hours,"background-image: url(""https://media-cdn.tripadvisor.com/media/attractions-splice-spp-720x480/06/6c/2a/d7.jpg"");"
11,https://tripadvisor.ca/AttractionProductDetail-g154943-d11448261-Vancouver_Seaplane_Tour-Vancouver_British_Columbia.html,"Mix up your regular way of doingâ€”and seeingâ€”things while visiting Vancouver, and experience the city from up in the air on this seaplane tour. Not only can you get perspectives and pictures of the city you wouldnâ€™t get from a bus or walking tour, but you also take off and land on the waterâ€”adding a splash landing to all adventure seekers' Vancouver vacations.
Read more",30m,"background-image: url(""https://media-cdn.tripadvisor.com/media/attractions-splice-spp-720x480/07/01/36/e0.jpg"");"
12,https://tripadvisor.ca/AttractionProductDetail-g154998-d11447740-Niagara_Falls_Grand_Helicopter_Tour-Niagara_Falls_Ontario.html,"First-time visitors to Canada likely have Niagara Falls at the top of their to-do list and the most incredible views of the falls are from above. This helicopter tour offers almost double the time in the air to other tours, so you can enjoy views of not only the American, Bridal Veil, and Canadian Horseshoe Falls, but Niagara-on-the-Lake, Niagara wine country, and along the Niagara River.
Read more",20m,"background-image: url(""https://media-cdn.tripadvisor.com/media/attractions-splice-spp-720x480/0a/94/46/36.jpg"");"
13,https://tripadvisor.ca/AttractionProductDetail-g154948-d11455063-Whistler_Helicopter_Tour-Whistler_British_Columbia.html,"See natural landscapes rarely seen by visitors on a helicopter tour over the mountains of Whistler (24-minute sightseeing tour + a 15 minute glacier landing (if the weather permits)). As you fly over meadows and lakes inaccessible to the public, hear pilot commentary about the areaâ€™s geology.
Read more",24â€“45 minutes,"background-image: url(""https://media-cdn.tripadvisor.com/media/attractions-splice-spp-720x480/0b/99/31/28.jpg"");"
14,https://tripadvisor.ca/AttractionProductDetail-g154998-d11454179-Niagara_Falls_Helicopter_Tour-Niagara_Falls_Ontario.html,"Fly high above Niagara for unmatched views of American Falls, Bridal Veil Falls, and Horseshoe Falls from the air. Youâ€™re able to take in the massive scale of the waterfalls as you glide over the water in a sightseeing helicopter, looking down at the Whirlpool Rapids and Skylon Tower. It's a perspective you can't get from ground level.
Read more",12m,"background-image: url(""https://media-cdn.tripadvisor.com/media/attractions-splice-spp-720x480/06/ee/e4/83.jpg"");"
15,https://tripadvisor.ca/AttractionProductDetail-g155019-d11447633-7_Minute_Helicopter_Tour_Over_Toronto-Toronto_Ontario.html,"Get a unique perspective on the Toronto skyline with this brief helicopter tour that wonâ€™t break the bank. Covering nine miles of the city and surrounding landscapes, the tour provides aerial views of the CN Tower, St. Lawrence Market, National Exhibition grounds, and bustling Bloor Street. A choice of departure times adds extra flexibility, and you go home with a souvenir photo and memories that will last a lifetime.
Read more",7m,"background-image: url(""https://media-cdn.tripadvisor.com/media/attractions-splice-spp-720x480/06/70/3d/20.jpg"");"
16,https://tripadvisor.ca/AttractionProductDetail-g154943-d11448263-Seaplane_Flight_to_Victoria_and_Whale_Watching_Cruise-Vancouver_British_Columbia.html,"Cruise Vancouver Islandâ€™s Haro Strait on a spectacular whale-watching tour that includes round-trip seaplane flights between Vancouver and Victoria. See the BC coast from the air and water during the flight, while avoiding the long, traffic-filled trip to Vancouver Island by ferry. As you cruise, watch for orca whales, sea lions, and seabirds as you explore a scenic channel off Vancouver Islandâ€™s east coast.
Read more",10h,"background-image: url(""https://media-cdn.tripadvisor.com/media/attractions-splice-spp-720x480/07/92/58/27.jpg"");"
18,https://tripadvisor.ca/AttractionProductDetail-g154998-d11460161-Niagara_Falls_Airplane_Tour-Niagara_Falls_Ontario.html,"Experience Niagara Falls from the sky on this small-group tour by chartered airplane. The Falls plunge into the river below as you relax in your window seat and enjoy chocolates and champagne. This guided tour takes you soaring over the region to discover the history and beauty of the area from an exclusive vantage.
Read more",30m,"background-image: url(""https://media-cdn.tripadvisor.com/media/attractions-splice-spp-720x480/06/6b/64/e1.jpg"");"
19,https://tripadvisor.ca/AttractionProductDetail-g155019-d15040569-Airliner_Adventures_Package-Toronto_Ontario.html,"Discover what it feels like to pilot a Boeing 737 when you sign up for a thrilling flight simulator session. Pick between a number of possible times to best suit your schedule. Upon arrival, begin with a training session; then, get comfortable in the cockpit and go for a flight. Choose to take off and land in one of thousands of airports around the world; this activity is designed for a maximum of two pilots and two observers, so youâ€™re guaranteed a personal experience.
Read more",1â€“2 hours,"background-image: url(""https://media-cdn.tripadvisor.com/media/attractions-splice-spp-720x480/0b/35/eb/e1.jpg"");"
20,https://tripadvisor.ca/AttractionProductDetail-g154944-d15766387-Yukon_Northern_Lights_4_days_Adventure_in_Whitehorse-Vancouver_Island_British_Columbia.html,"Canadaâ€™s Yukon Territory is one of the best places to see the Northern Lights. With this hassle-free tour, arrive in Whitehorse, and stay in a ranch away from the light pollution of the city. Increase your chances of spotting the aurora borealis by staying multiple nights. Spend your days exploring at your leisure, snowshoeing or fat biking along snowy trails.
Read more",4 days,"background-image: url(""https://media-cdn.tripadvisor.com/media/attractions-splice-spp-720x480/06/f1/8c/d4.jpg"");"
22,https://tripadvisor.ca/AttractionProductDetail-g154943-d15846638-Vancouver_to_Seattle_Seaplane_Flight-Vancouver_British_Columbia.html,"Fly via seaplane between Vancouver and Seattle for a quick journey with epic aerial views and photo ops. You'll get the chance to make a water take-off and landing, an unusual experience that will make for great cocktail party conversation. This transportation option saves tons of travel time, avoiding a long drive or arduous international commercial airport restrictions.
Read more",55m,"background-image: url(""https://media-cdn.tripadvisor.com/media/attractions-splice-spp-720x480/07/36/74/cd.jpg"");"
23,https://tripadvisor.ca/AttractionProductDetail-g155019-d11447634-14_Minute_Helicopter_Tour_Over_Toronto-Toronto_Ontario.html,"See the city of Toronto and the surrounding area on this stunning helicopter flight.  Soar over the largest city in Canada with an exclusive sightseeing tour of Torontoâ€™s downtown skyline and beyond, including the iconic CN Tower, Casa Loma, High Park and the beautiful waterfront. This incredible flight covers almost 22 miles (35 km) and includes one keepsake digital photo (delivered online) plus a printed souvenir picture. A variety of departure times are available throughout the day to fit into almost any schedule.
Read more",14m,"background-image: url(""https://media-cdn.tripadvisor.com/media/attractions-splice-spp-720x480/06/70/3d/1f.jpg"");"
24,https://tripadvisor.ca/AttractionProductDetail-g154943-d11807018-Victoria_and_Butchart_Gardens_by_Helicopter_and_Speed_Boat-Vancouver_British_Columbia.html,"While in Canada, experience Victoriaâ€™s wide selection of outdoor activities, and see the beauty of the Butchart Gardens on this guided tour by air, land, and water from Vancouver. First, take a helicopter flight over the Gulf Islands to spend some free time in the Garden City. See the Butchart Gardens before hopping on a speedboat cruise back to Vancouver.
Read more",10h,"background-image: url(""https://media-cdn.tripadvisor.com/media/attractions-splice-spp-720x480/06/6f/46/22.jpg"");"
25,https://tripadvisor.ca/AttractionProductDetail-g154943-d11448262-Mount_Mamquam_and_Alpine_Lakes_Seaplane_Tour_from_Vancouver-Vancouver_British_Columbia.html,"Explore British Columbia from the air on this 1-hour Mount Mamquam and Alpine Lakes seaplane tour from Vancouver. Take to the skies with your pilot as Vancouver Harbour disappears in the distance. Enjoy panoramic views over Mount Mamquam and the surrounding glaciers and lakes. Marvel at the valley ridges, hanging glaciers and clear lakes below, and learn of the regionâ€™s fascinating geography. Land near a hidden alpine lake and admire breathtaking views over the shimmering waters (weather permitting). Enjoy personal attention from your guide on this small-group tour, limited to 14 people.
Read more",1h,"background-image: url(""https://media-cdn.tripadvisor.com/media/attractions-splice-spp-720x480/09/c2/b1/cb.jpg"");"
26,https://tripadvisor.ca/AttractionProductDetail-g155032-d12472357-Helicopter_Tour_Over_Montreal-Montreal_Quebec.html,"See Montreal from above on this helicopter tour of the city. During the ride, catch views of the Olympic Stadium, downtown Montreal, Mount Royal, and other sights as you soar at an altitude of 1,500 feet (457 meters). Before taking off, youâ€™ll receive a safety briefing and be able to get comfortable with the aircraft.
Read more",20â€“30 minutes,"background-image: url(""https://media-cdn.tripadvisor.com/media/attractions-splice-spp-720x480/0b/f7/c6/1e.jpg"");"
27,https://tripadvisor.ca/AttractionProductDetail-g181771-d11763865-Squamish_Explorer_Flightseeing_Tour-Squamish_British_Columbia.html,"Enjoy birdâ€™s-eye views over the rugged Canadian wilderness on this 35-minute Squamish Valley flightseeing tour. Take to the skies with your pilot and watch as the rolling terrain of the Squamish Valley unfolds before you. Marvel at gigantic glaciers, shimmering alpine lakes, snow-capped peaks and plunging valleys across the Tantalus, Alpha, Ossa and Omega mountain ranges. Soar high over the breathtaking Garibaldi Provincial Park, nestled in the hills between Squamish and Whistler. With your headphones on, listen as your pilot sheds light on the regionâ€™s fascination geology.
Read more",35m,"background-image: url(""https://media-cdn.tripadvisor.com/media/attractions-splice-spp-720x480/06/74/10/ec.jpg"");"
28,https://tripadvisor.ca/AttractionProductDetail-g154943-d11894600-Victoria_Excursion_from_Vancouver_by_Helicopter_and_Sea_Plane-Vancouver_British_Columbia.html,"Travel from Vancouver to Victoria in style with round-trip flights across the Strait of Georgia, and make the most of your time by skipping long ferry lines. Youâ€™ll travel to the island by helicopter, with spectacular views of the coast and islands, then make the return trip by sea plane. Your flights between Vancouver and Victoria include pickup and drop-off at accommodations in Vancouver, with departure times that are tailored to your schedule.
Read more",8h,"background-image: url(""https://media-cdn.tripadvisor.com/media/attractions-splice-spp-720x480/06/6f/46/16.jpg"");"
29,https://tripadvisor.ca/AttractionProductDetail-g154998-d15632836-Niagara_Winter_Wonderland_Tour_Air_Tour_Winery_Tour_Chocolate_Factory_Tour-Niagara_Falls_Ontario.html,"Enjoy a luxurious, one-of-a-kind way to explore the Niagara Falls region on this combination tour. Begin the tour at Niagara District Airport: upon boarding your aircraft, take to the skies and admire aerial views of Niagara Falls. Once youâ€™ve landed, transfer next to a local chocolatier, where youâ€™ll enjoy numerous sweet treats and will learn how chocolate is made. Finally, venture to a Lake Ontario winery, where youâ€™ll sample numerous local varieties, including delectable ice wine.
Read more",3h,"background-image: url(""https://media-cdn.tripadvisor.com/media/attractions-splice-spp-720x480/07/36/c8/13.jpg"");"
30,https://tripadvisor.ca/AttractionProductDetail-g154979-d11466244-Thousand_Islands_Two_Castle_Helicopter_Tour-Ontario.html,"See Ontario's Thousand Islands from the air on a narrated sightseeing flight from Thousand Islands Heliport. Soar above the Saint Lawrence River and the Thousand Islands Bridge, then get aerial views of the grand Boldt and Singer Castles on the New York side. Before touching back down at the heliport, take in the Manhattan Group of islands, shipwrecks, and the Sisters Island Lighthouse.
Read more",30m,"background-image: url(""https://media-cdn.tripadvisor.com/media/attractions-splice-spp-720x480/06/d8/29/ec.jpg"");"
31,https://tripadvisor.ca/AttractionProductDetail-g182183-d11473761-Helicopter_Tour_Over_Mont_Tremblant-Mont_Tremblant_Quebec.html,"See Mont-Tremblant the way only birds get to see it on this helicopter tour. Fly over the entire resort area, including the mountain and the village, over the dense forests, and Lakes Tremblant and Mercier. This excursion runs year-round, so whether you are at Tremblant for a summer golf getaway or winter ski holiday you can get up in the helicopter and enjoy the view.
Read more",20m,"background-image: url(""https://media-cdn.tripadvisor.com/media/attractions-splice-spp-720x480/07/01/35/cf.jpg"");"
32,https://tripadvisor.ca/AttractionProductDetail-g1173269-d11482402-Sechelt_Panorama_Seaplane_Experience-Sunshine_Coast_British_Columbia.html,"Soak up the sights as you soar over Sechelt on this 30-minute seaplane flight. Departing from the Sechelt harbor, your pilot takes you over the inlet and Sechelt Peninsula. Enjoy birdâ€™s eye views of Sakinaw Lake and the Skookumchuck Narrows. Return for a gentle, splashy ending back in the harbor. This trip provides a perfect introduction to seaplane aviation.
Read more",20m,"background-image: url(""https://media-cdn.tripadvisor.com/media/attractions-splice-spp-720x480/07/92/58/ba.jpg"");"
33,https://tripadvisor.ca/AttractionProductDetail-g154943-d11469289-Victoria_and_Butchart_Gardens_by_Seaplane_and_Speed_Boat-Vancouver_British_Columbia.html,"Experience beautiful and renowned Butchart Gardens, plus the quaint city of Victoria, British Columbia, on this all-day tour from Vancouver. Enjoy a relaxing, scenic seaplane ride through the picturesque Gulf Islands en route to Victoria, one of the oldest cities in the Pacific Northwest. Explore the seemingly endless array of floral displays at Butchart Gardens, then visit some of Victoriaâ€™s best places. This tour includes all transportation â€” including a speedboat return â€” and admission to Butchart Gardens.
Read more",11h,"background-image: url(""https://media-cdn.tripadvisor.com/media/attractions-splice-spp-720x480/06/6f/46/1c.jpg"");"
34,https://tripadvisor.ca/AttractionProductDetail-g154943-d11481200-Whistler_Day_Trip_by_Seaplane_from_Vancouver-Vancouver_British_Columbia.html,"Want to spend a day in Whistler but donâ€™t want to lose a day just in travel time? This round-trip seaplane flight from Vancouver provides the perfect solution. This convenient transport package includes two 35-minute flights between Vancouver and Green Lake in Whistler, as well as a shuttle service to and from Whistler Village or a bike rental. Spend the day or just an afternoon discovering the sights and sounds of Whistler, and end on a high note with a return flight to Vancouver.
Read more",9h,"background-image: url(""https://media-cdn.tripadvisor.com/media/attractions-splice-spp-720x480/07/01/36/e3.jpg"");"
35,https://tripadvisor.ca/AttractionProductDetail-g154943-d12592660-Whales_Fly_Whale_Watching_from_Vancouver_to_Victoria_Return_Seaplane_Flight-Vancouver_British_Columbia.html,"Go on an adventure by sea, land, and sky on this full-day whale-watching experience in Victoria from Vancouver, including a return flight to Vancouver by seaplane. First board a boat, and hit the water in search of whales and other marine life. Then, explore the city of Victoria on your own before hopping in a seaplane for a flight from Victoria and Vancouver, overlooking the Gulf Islands.
Read more",7â€“12 hours,"background-image: url(""https://media-cdn.tripadvisor.com/media/attractions-splice-spp-720x480/06/71/b2/6b.jpg"");"
36,https://tripadvisor.ca/AttractionProductDetail-g154943-d11448264-Vancouver_to_Victoria_by_Seaplane_and_Ferry-Vancouver_British_Columbia.html,"Explore the capital of British Columbiaâ€”Victoria on this exciting day trip from Victoria. Enjoy the thrill of traveling by seaplane, and see incredible panoramic views of the city, and the snow-capped mountain along the way. Once in Victoria, thereâ€™s no strict itinerary to stick toâ€”instead, benefit from the freedom of planning a self-guided tour. Potential highlights include the Butchart Gardens, the Empress Hotel, Chinatown, and Oak Bay.
Read more",12h,"background-image: url(""https://media-cdn.tripadvisor.com/media/attractions-splice-spp-720x480/06/df/2c/bb.jpg"");"
37,https://tripadvisor.ca/AttractionProductDetail-g154943-d11482403-Seaplane_Flight_to_Victoria_with_Ground_Transport_and_Butchart_Gardens_Admission-Vancouver_British_Columbia.html,"Book this quick-and-easy round-trip seaplane flight package from Vancouver to Victoria. Fly over the Georgia Strait and Gulf Islands, and make a splashy ending in Victoriaâ€™s Inner Harbour. Enjoy free time in Victoria, before returning on an afternoon or evening flight back to downtown Vancouver. Bonus: A shuttle bus and admission fee to the Butchart Gardens are included, making this travel experience even more pleasant.
Read more",24h,"background-image: url(""https://media-cdn.tripadvisor.com/media/attractions-splice-spp-720x480/06/df/2c/bf.jpg"");"
38,https://tripadvisor.ca/AttractionProductDetail-g154998-d15304457-Helicopter_Ride_Over_The_Falls_and_Sit_down_Meal_at_Elements_located_on_Falls-Niagara_Falls_Ontario.html,"Discover Niagara Falls from every possible angle on a 5-hour tour. First, descend 125 feet to appreciate the falls from the lower observation deck. Afterwards, sit down for a meal at either Elements or Queen Victoria Restaurant, both of which overlook Horseshoe Falls. Then it's time to take to the skies. Have your camera ready as you soar over the falls and whirlpool section during a 12-minute helicopter ride.
Read more",5h,"background-image: url(""https://media-cdn.tripadvisor.com/media/attractions-splice-spp-720x480/06/e4/15/74.jpg"");"
39,https://tripadvisor.ca/AttractionProductDetail-g155033-d11486393-Quebec_City_Helicopter_Tour_Over_Montmorency_Falls-Quebec_City_Quebec.html,"Take in aerial views of the UNESCO World Heritage-listed QuÃ©bec City and Montmorency Falls on this 30-minute helicopter tour. As you fly over OrlÃ©ans Island, Le ChÃ¢teau Frontenac, the Plains of Abraham, and Old QuÃ©bec, listen to commentary from your pilot/guide in English or French. Pickup and drop-off at downtown QuÃ©bec City hotels available.
Read more",30m,"background-image: url(""https://media-cdn.tripadvisor.com/media/attractions-splice-spp-720x480/06/71/ab/2b.jpg"");"
40,https://tripadvisor.ca/AttractionProductDetail-g154945-d14103663-Seaplane_Flight_to_Vancouver_with_Bus_Tour_from_Victoria-Victoria_Victoria_Capital_Regional_District_Vancouver_Island_British_Columbia.html,"Travel to Vancouver from Victoria by seaplane, and enjoy the stunning views from the air before taking to the roads for a 4-hour tour of Vancouver with this combo tour. First see Mount Baker, Salt Spring Island, and the Georgia Straight from the comfort of your seaplane. Then, head out with a guide, and explore Vancouverâ€™s Chinatown, Stanley Park, English Bay, and Gastown before hopping back on your seaplane for a flight back to Victoria.
Read more",24h,"background-image: url(""https://media-cdn.tripadvisor.com/media/attractions-splice-spp-720x480/07/2b/97/93.jpg"");"
41,https://tripadvisor.ca/AttractionProductDetail-g154943-d11459526-Vancouver_to_Victoria_Seaplane_Flight-Vancouver_British_Columbia.html,"Travel in style over the sights of Vancouver and land directly in the heart of Victoria a quick (and scenic!) 35 minutes later. Save yourself the frantic drive out to the airport or long waits at the ferry terminal by booking this Vancouver to Victoria Seaplane Flight. Check availability easily from this page and take advantage of the low-price guarantee when booking through Viator.
Read more",35m,"background-image: url(""https://media-cdn.tripadvisor.com/media/attractions-splice-spp-720x480/06/f1/29/69.jpg"");"
42,https://tripadvisor.ca/AttractionProductDetail-g154945-d14103383-Victoria_to_Vancouver_Seaplane_Flight-Victoria_Victoria_Capital_Regional_District_Vancouver_Island_British_Columbia.html,"Enjoy swift travel and breathtaking views over British Columbia on this Victoria to Vancouver seaplane flight. Hop aboard your seaplane in Victoriaâ€™s Inner Harbour and take to the skies with your pilot. Enjoy panoramic views over local landmarks including Ogden Point, the Fairmont Empress Hotel and the BC Parliament Buildings. Soar over the Gulf Islandsâ€™ sandy beaches and dense forests, and look out for the mighty Lionâ€™s Gate Bridge and Brockton Peninsula.
Read more",35m,"background-image: url(""https://media-cdn.tripadvisor.com/media/attractions-splice-spp-720x480/07/6b/55/ba.jpg"");"
43,https://tripadvisor.ca/AttractionProductDetail-g155019-d15209353-Toronto_Aerial_Tour_in_luxury_with_a_Niagara_Falls_Winery_Tour_and_Tasting-Toronto_Ontario.html,"Add some opulence to your Canadian vacation on a 5-hour winery tour by plane and luxury transportation. After you get into a VIP mood at the Buttonville Airport, take to the skies. Enjoy exceptional aerial views en route to Niagara, then transfer to a limo bus. Sample some of the region's best wine at an award-winning winery, as you take in the picturesque rural scenery. Then return to Toronto in time for dinner.
Read more",5h,"background-image: url(""https://media-cdn.tripadvisor.com/media/attractions-splice-spp-720x480/07/11/7f/91.jpg"");"
44,https://tripadvisor.ca/AttractionProductDetail-g155019-d11478873-Air_Taxi_and_Tour_from_Toronto_Niagara_including_Ground_Transport_to_Niagara_Hotels-Toronto_Ontario.html,"In a crunch? Make the most of your time with this 30-minute air taxi tour from Toronto to Niagara that includes ground transportation to area hotels. You'll save the headache and the hassle of navigating four hours of traffic between destinations and get an arial view of this epic natural wonder at the same time. This memorable experience includes one-way air taxi fare for one to three from Toronto to Niagara, an air tour of Niagara Falls, and ground transportation to Niagara hotels.
Read more",1h,"background-image: url(""https://media-cdn.tripadvisor.com/media/attractions-splice-spp-720x480/06/6b/64/e2.jpg"");"
45,https://tripadvisor.ca/AttractionProductDetail-g154943-d14128522-Tofino_to_Vancouver_Seaplane_Flight-Vancouver_British_Columbia.html,"Fly from Vancouver to Tofino by seaplane for a spectacular experience that also saves hours in transit. Youâ€™ll have gorgeous, aerial views of downtown Vancouver and the harbor, with the chance to spot whales from above as you cross the Strait of Georgia. On Vancouver Island, cut across forested mountains inaccessible by road before touching down in the remote, west-coast community of Tofino.
Read more",1h,"background-image: url(""https://media-cdn.tripadvisor.com/media/attractions-splice-spp-720x480/06/df/2c/d2.jpg"");"
46,https://tripadvisor.ca/AttractionProductDetail-g154948-d11482005-Whistler_to_Vancouver_Scenic_Flight-Whistler_British_Columbia.html,"Get from Whistler to Vancouver in just 40-minutes and take in gorgeous views along the way during this scenic flight aboard a sea-plane. Catch your flight near Whistler and Blackcomb and soar over glacial fed Green Lake. Take in the massive mountain range and cross the Georgia Strait before landing in Coal Harbour, Vancouver.
Read more",45m,"background-image: url(""https://media-cdn.tripadvisor.com/media/attractions-splice-spp-720x480/07/6b/55/c1.jpg"");"
47,https://tripadvisor.ca/AttractionProductDetail-g154979-d15207288-Exhilarating_120km_Aerial_Tour_of_Toronto-Ontario.html,"Take in sweeping aerial views of Toronto from the comfort of an 8-person executive plane. Donâ€™t forget your camera: The pilotâ€™s flight path is designed to showcase top landmarks such as the CN Tower, Rogers Center, Toronto Islands, and Lake Ontario. For your comfort and convenience, the experience includes free parking and access to the airportâ€™s VIP lounge prior to departure.
Read more",24m,"background-image: url(""https://media-cdn.tripadvisor.com/media/attractions-splice-spp-720x480/06/95/f5/80.jpg"");"
48,https://tripadvisor.ca/AttractionProductDetail-g154979-d11466243-Boldt_Castle_and_Thousand_Islands_Helicopter_Tour-Ontario.html,"Take to the skies on a helicopter tour of the Thousand Islands area from Gananoque. The roughly 20-minute ride includes unique aerial views of Boldt Castle, a popular tourist attraction located near Alexandria Bay, New York. Plus, catch sights of the St. Lawrence River and the Thousand Islands Bridge from above.
Read more",20m,"background-image: url(""https://media-cdn.tripadvisor.com/media/attractions-splice-spp-720x480/06/d7/7a/0d.jpg"");"
